氏名,学校名,コース,進捗度(%),加入日
東雲 健太,shinonome大学,フロントエンド,25,2022/07/07
東雲 修,shinonome大学,データ,42,2022/11/04
東雲 直人,shinonome大学,データ,32,2022/07/25
東雲 崇,shinonome大学,バックエンド,27,2022/03/17
東雲 一郎,西雲大学,バックエンド,98,2021/08/26
東雲 純,西雲大学,デザイン,49,2022/11/06
東雲 勝,東雲大学,バックエンド,44,2021/05/22
東雲 愛,東雲大学,データ,13,2021/07/01
東雲 美穂,西雲大学,フロントエンド,59,2021/12/04
東雲 恵,shinonome大学,フロントエンド,64,2021/07/18
東雲 久美子,shinonome大学,データ,71,2021/07/18
東雲 由佳,shinonome大学,データ,61,2022/08/04
東雲 直美,shinonome大学,バックエンド,0,2021/05/16
東雲 愛子,西雲大学,バックエンド,75,2021/06/04
東雲 和美,西雲大学,デザイン,48,2022/11/18
東雲 紀子,東雲大学,バックエンド,66,2021/06/30
東雲 さやか,東雲大学,データ,37,2022/08/22
東雲 薫,西雲大学,フロントエンド,99,2022/08/18
東雲 悦子,東雲大学,データ,80,2022/10/29
東雲 美佳,西雲大学,フロントエンド,70,2021/09/30
東雲 彩香,shinonome大学,バックエンド,36,2021/12/23
東雲 久美,東雲大学,データ,22,2022/06/10
東雲 静香,西雲大学,デザイン,9,2022/09/04
東雲 奈々,shinonome大学,デザイン,66,2021/08/17
東雲 裕子,東雲大学,データ,65,2022/09/20
東雲 小百合,西雲大学,フロントエンド,41,2021/11/30
東雲 まどか,shinonome大学,フロントエンド,100,2022/01/16
東雲 聡,東雲大学,データ,100,2021/06/23
東雲 健太郎,西雲大学,フロントエンド,100,2022/06/01
東雲 健太,shinonome大学,フロントエンド,100,2021/06/21
東雲 修,shinonome大学,データ,100,2022/08/29
東雲 直人,shinonome大学,データ,43,2021/10/02
東雲 崇,shinonome大学,バックエンド,47,2021/08/04
東雲 一郎,西雲大学,バックエンド,6,2022/10/12
東雲 純,西雲大学,デザイン,22,2022/02/26
東雲 勝,東雲大学,バックエンド,25,2021/05/13
